Date,Country,City,Specie,count,min,max,median,variance
10-11-2021,Italy,Bologna,dew,26,8,9,8.5,1.35
01-01-2021,Italy,Bologna,dew,38,2,5,3,6.73
06-02-2021,Italy,Bologna,dew,20,8,9,8.5,2.34
11-04-2021,Italy,Bologna,dew,34,9.5,11.5,10,4.1
16-05-2021,Italy,Bologna,dew,42,9,15,12,29.73
11-06-2021,Italy,Bologna,dew,48,10,17,14.5,38.92
21-06-2021,Italy,Bologna,dew,48,13.5,19,16,18.07
08-07-2021,Italy,Bologna,dew,34,13,20,18,45.49
28-07-2021,Italy,Bologna,dew,38,17.5,20.5,19,7.08
06-09-2021,Italy,Bologna,dew,38,8,13.5,10,23.06
19-02-2021,Italy,Bologna,dew,48,4.5,8,6.5,9.57
03-03-2021,Italy,Bologna,dew,46,-1,2,0,7.99
30-06-2021,Italy,Bologna,dew,42,7,13,10,26.41
30-03-2021,Italy,Bologna,dew,44,6,10,7,10.23
14-04-2021,Italy,Bologna,dew,44,-1,4,2,18.72
23-04-2021,Italy,Bologna,dew,44,5,11,7.5,28.54
24-05-2021,Italy,Bologna,dew,42,7,16,14,30.49
07-06-2021,Italy,Bologna,dew,40,16,18,17,4.51
09-06-2021,Italy,Bologna,dew,40,13,17.5,15.5,11.64
06-08-2021,Italy,Bologna,dew,38,13,15.5,14.5,5.76
26-08-2021,Italy,Bologna,dew,40,11,16,13,16.05
24-11-2021,Italy,Bologna,dew,48,-1,4.5,2,15.1
19-01-2021,Italy,Bologna,dew,44,-7,-1,-3,36.26
03-06-2021,Italy,Bologna,dew,44,11,14,12.5,8.29
18-06-2021,Italy,Bologna,dew,48,13,19.5,17,27.19
22-07-2021,Italy,Bologna,dew,48,14.5,20,18,28.44
29-09-2021,Italy,Bologna,dew,46,13,18,16.5,23.28
06-05-2021,Italy,Bologna,dew,44,4,12,9.5,49.29
24-06-2021,Italy,Bologna,dew,46,8,17,15.5,65.55
24-07-2021,Italy,Bologna,dew,40,13.5,20,19,57.66
16-08-2021,Italy,Bologna,dew,48,12.5,19,15.5,23.97
28-12-2020,Italy,Bologna,dew,48,-2.5,6,0,55.95
18-02-2021,Italy,Bologna,dew,40,3.5,7,5,15.92
22-04-2021,Italy,Bologna,dew,46,6.5,10.5,9,15.1
09-05-2021,Italy,Bologna,dew,42,6,11,9,26.74
20-07-2021,Italy,Bologna,dew,38,12,17,14,25.73
25-08-2021,Italy,Bologna,dew,46,13,16,14,6.39
05-11-2021,Italy,Bologna,dew,42,4,7,5.5,10.33
01-04-2021,Italy,Bologna,dew,44,4,9.5,5,30.59
22-09-2021,Italy,Bologna,dew,48,9.5,13,12,8.09
28-01-2021,Italy,Bologna,dew,46,-5,-1,-3,17.22
24-03-2021,Italy,Bologna,dew,42,-5,0.5,-2,31.68
08-04-2021,Italy,Bologna,dew,48,-9.5,-0.5,-7,76.6
29-05-2021,Italy,Bologna,dew,48,9,13.5,10.5,9.36
28-09-2021,Italy,Bologna,dew,36,15,17,16,4.92
10-04-2021,Italy,Bologna,dew,44,-1,10,4,150.32
09-08-2021,Italy,Bologna,dew,46,6,16,10.5,87.26
30-08-2021,Italy,Bologna,dew,46,9,15.5,10,41.43
07-09-2021,Italy,Bologna,dew,42,9,11.5,10,3.88
20-11-2021,Italy,Bologna,dew,20,7,8,7.5,2.11
02-01-2021,Italy,Bologna,dew,30,3.5,6.5,6,10.3
09-04-2021,Italy,Bologna,dew,48,0,4,2,14.47
18-05-2021,Italy,Bologna,dew,46,3,8.5,7.5,23.38
02-07-2021,Italy,Bologna,dew,42,10,17.5,14.5,44.85
17-07-2021,Italy,Bologna,dew,48,15,19,16,14.96
30-07-2021,Italy,Bologna,dew,48,14,19,17,22.87
02-08-2021,Italy,Bologna,dew,40,11,16.5,13,21.92
20-02-2021,Italy,Bologna,dew,48,2.5,9,7,47.23
17-05-2021,Italy,Bologna,dew,46,2.5,13,11,78.42
12-01-2021,Italy,Bologna,dew,38,-5,-2,-3.5,8.44
15-01-2021,Italy,Bologna,dew,22,-0.5,1,0,2.99
19-09-2021,Italy,Bologna,dew,48,6.5,18.5,15,135.63
06-01-2021,Italy,Bologna,dew,46,1.5,3.5,2.5,2.43
01-02-2021,Italy,Bologna,dew,46,1.5,5,3.5,10.85
05-03-2021,Italy,Bologna,dew,44,1,5.5,4,19.94
30-04-2021,Italy,Bologna,dew,48,9,15.5,12,42.18
20-08-2021,Italy,Bologna,dew,42,12,15.5,13,11.79
01-10-2021,Italy,Bologna,dew,42,12.5,14.5,13.5,3.24
08-01-2021,Italy,Bologna,dew,46,-1,3,1,14.14
16-03-2021,Italy,Bologna,dew,48,-9.5,-0.5,-5.5,95.53
10-05-2021,Italy,Bologna,dew,48,6.5,14,12.5,59.43
02-09-2021,Italy,Bologna,dew,48,10,16,13,34.25
02-03-2021,Italy,Bologna,dew,42,-2,2.5,1,20.46
16-06-2021,Italy,Bologna,dew,34,14.5,17,16,5.08
08-09-2021,Italy,Bologna,dew,48,9.5,13,10,10.14
18-09-2021,Italy,Bologna,dew,40,15.5,19.5,18,12.12
03-02-2021,Italy,Bologna,dew,24,3.5,6,4.5,7.61
09-02-2021,Italy,Bologna,dew,30,6,8,7.5,4.64
29-03-2021,Italy,Bologna,dew,46,5,8,7,7.02
12-05-2021,Italy,Bologna,dew,48,6,13,11,45.25
23-06-2021,Italy,Bologna,dew,46,12.5,18,14.5,25
14-09-2021,Italy,Bologna,dew,34,11,13,11.5,4.83
09-11-2021,Italy,Bologna,dew,28,6,9,8,7.26
11-11-2021,Italy,Bologna,dew,12,8.5,9.5,9,1.29
07-12-2021,Italy,Bologna,dew,18,-4,-2,-3,4.71
31-03-2021,Italy,Bologna,dew,48,2.5,8.5,5,37.59
17-04-2021,Italy,Bologna,dew,46,-1.5,4.5,0,24.65
02-05-2021,Italy,Bologna,dew,48,2,14.5,5.5,183.61
12-11-2021,Italy,Bologna,dew,44,8,11,9,9.46
19-11-2021,Italy,Bologna,dew,18,9,10,9.5,1.76
04-02-2021,Italy,Bologna,dew,38,4,8,6,19.08
21-02-2021,Italy,Bologna,dew,48,3.5,8.5,6,22.97
21-03-2021,Italy,Bologna,dew,46,-7.5,-1,-5,42.42
16-11-2021,Italy,Bologna,dew,30,7,9,8,6.14
10-01-2021,Italy,Bologna,dew,32,-1,1,0,3.71
30-01-2021,Italy,Bologna,dew,40,-1,6,2,60.07
31-01-2021,Italy,Bologna,dew,42,4.5,7,6,5.02
18-03-2021,Italy,Bologna,dew,48,-6,2.5,-1.5,80.41
11-07-2021,Italy,Bologna,dew,44,14,17.5,16,8.88
06-12-2021,Italy,Bologna,dew,48,-1,3.5,1,14.96
23-01-2021,Italy,Bologna,dew,48,3.5,7.5,5,17.09
13-08-2021,Italy,Bologna,dew,48,14,19.5,17,26.48
29-11-2021,Italy,Bologna,dew,48,-5,2,-0.5,35.85
05-05-2021,Italy,Bologna,dew,46,3.5,8.5,7.5,28.64
27-05-2021,Italy,Bologna,dew,48,7,13,10.5,40.14
26-11-2021,Italy,Bologna,dew,32,5.5,7,6,2.42
05-02-2021,Italy,Bologna,dew,10,7,8,8,2.67
28-06-2021,Italy,Bologna,dew,42,12,18,15.5,37.05
07-07-2021,Italy,Bologna,dew,46,14,18,16.5,14.39
26-07-2021,Italy,Bologna,dew,48,17,21,20,17.41
11-08-2021,Italy,Bologna,dew,38,14.5,17,16.5,4.42
24-08-2021,Italy,Bologna,dew,48,10.5,19,15,71.68
03-01-2021,Italy,Bologna,dew,48,2,5.5,3.5,12.13
10-03-2021,Italy,Bologna,dew,48,-2,3,-0.5,32.09
19-04-2021,Italy,Bologna,dew,40,3,6,4.5,6.31
30-05-2021,Italy,Bologna,dew,48,3.5,14,9,147
28-08-2021,Italy,Bologna,dew,40,9,13.5,12.5,21.56
29-12-2020,Italy,Bologna,dew,48,-2,4.5,2.5,46.37
25-01-2021,Italy,Bologna,dew,48,-6,1,-2,40.21
28-05-2021,Italy,Bologna,dew,46,7.5,14,11,47.26
08-06-2021,Italy,Bologna,dew,32,15,18,16.5,8.94
12-07-2021,Italy,Bologna,dew,40,13,18,16.5,25.76
18-08-2021,Italy,Bologna,dew,38,10,16,14.5,46.1
25-11-2021,Italy,Bologna,dew,30,3,5.5,4.5,6.78
25-02-2021,Italy,Bologna,dew,48,2,6,4,13.12
11-03-2021,Italy,Bologna,dew,42,-1.5,5,2.5,53.32
17-03-2021,Italy,Bologna,dew,44,-12,2.5,-6,112.96
20-03-2021,Italy,Bologna,dew,44,-4.5,0,-3,15.99
04-04-2021,Italy,Bologna,dew,42,-2,4.5,1.5,61.37
05-04-2021,Italy,Bologna,dew,44,-3,5,-1,69.92
21-04-2021,Italy,Bologna,dew,42,3.5,6.5,5,8.65
22-08-2021,Italy,Bologna,dew,32,13.5,16,15,6.28
05-09-2021,Italy,Bologna,dew,34,9,13,11,17.84
22-01-2021,Italy,Bologna,dew,38,1,7,3.5,26.86
13-02-2021,Italy,Bologna,dew,42,-10.5,0,-8,134.02
12-06-2021,Italy,Bologna,dew,46,11.5,16,14,15.3
29-06-2021,Italy,Bologna,dew,46,10,17.5,13.5,55.76
27-08-2021,Italy,Bologna,dew,48,12,18,14,32.54
06-11-2021,Italy,Bologna,dew,46,5.5,8,6.5,4.05
18-11-2021,Italy,Bologna,dew,34,9,12,10.5,6.51
25-03-2021,Italy,Bologna,dew,36,0.5,4,2,6.61
28-03-2021,Italy,Bologna,dew,44,4,8,6,12.49
04-06-2021,Italy,Bologna,dew,42,10.5,13,12,5.92
02-10-2021,Italy,Bologna,dew,18,12.5,14,13,1.76
27-11-2021,Italy,Bologna,dew,38,3,6.5,5,9.62
23-02-2021,Italy,Bologna,dew,38,4.5,9,6,14.88
06-03-2021,Italy,Bologna,dew,46,-2,8,5,117.78
15-05-2021,Italy,Bologna,dew,48,6.5,11.5,10,18.15
30-09-2021,Italy,Bologna,dew,40,14.5,16.5,15.5,3.46
01-12-2021,Italy,Bologna,dew,36,-2.5,3.5,1,54.52
19-03-2021,Italy,Bologna,dew,40,-6.5,0,-4,32.31
05-06-2021,Italy,Bologna,dew,44,11,16,12.5,27.25
19-07-2021,Italy,Bologna,dew,48,11.5,19.5,16.5,59.72
20-01-2021,Italy,Bologna,dew,44,-5,1,-1,48.72
17-02-2021,Italy,Bologna,dew,44,-0.5,6,2.5,59.11
24-04-2021,Italy,Bologna,dew,48,4,6.5,5,5.85
01-05-2021,Italy,Bologna,dew,48,10,16,14,40.99
13-07-2021,Italy,Bologna,dew,46,8.5,19.5,15.5,89.21
01-08-2021,Italy,Bologna,dew,46,8.5,20,18,139.94
07-08-2021,Italy,Bologna,dew,34,12.5,16.5,15.5,10.84
24-01-2021,Italy,Bologna,dew,48,-4,5,2.5,53.51
27-01-2021,Italy,Bologna,dew,46,-8,-3,-7,39.02
08-03-2021,Italy,Bologna,dew,40,-1,5,4,50.84
04-05-2021,Italy,Bologna,dew,46,2.5,9,6,35.72
17-06-2021,Italy,Bologna,dew,46,16,18,17,4.81
22-11-2021,Italy,Bologna,dew,16,7.5,9,8,3.17
23-11-2021,Italy,Bologna,dew,24,4,8.5,6,28.04
24-02-2021,Italy,Bologna,dew,48,4,7,5,5.37
01-06-2021,Italy,Bologna,dew,46,4,10,8.5,36.58
19-06-2021,Italy,Bologna,dew,46,12,15.5,14,7.03
16-07-2021,Italy,Bologna,dew,30,15,18,16.5,9.31
04-08-2021,Italy,Bologna,dew,48,12,17,13,21.9
05-08-2021,Italy,Bologna,dew,48,14,18,16,18.92
02-11-2021,Italy,Bologna,dew,48,7,11.5,9,25.39
17-01-2021,Italy,Bologna,dew,36,-2.5,1,0,9.97
14-02-2021,Italy,Bologna,dew,48,-10,-5.5,-8.5,26.58
27-03-2021,Italy,Bologna,dew,42,4.5,9,7,16.97
26-09-2021,Italy,Bologna,dew,46,15.5,19.5,16,20.65
27-09-2021,Italy,Bologna,dew,34,15,17,16.5,4.88
14-11-2021,Italy,Bologna,dew,38,11,13,12,3.76
20-04-2021,Italy,Bologna,dew,44,2.5,5,3.5,5.75
13-05-2021,Italy,Bologna,dew,48,4,12,8,32.09
04-09-2021,Italy,Bologna,dew,34,9.5,13,12,10.3
14-05-2021,Italy,Bologna,dew,46,6,12,10,35.92
08-08-2021,Italy,Bologna,dew,48,3,18,12.5,296.79
20-09-2021,Italy,Bologna,dew,46,7.5,17,11.5,66.54
21-09-2021,Italy,Bologna,dew,46,12.5,16,13.5,15.85
24-09-2021,Italy,Bologna,dew,34,10,13,11,9.63
02-12-2021,Italy,Bologna,dew,20,4,6,5,6.55
07-01-2021,Italy,Bologna,dew,36,1.5,3,2.5,3.14
22-02-2021,Italy,Bologna,dew,34,2,8,5,36.81
26-03-2021,Italy,Bologna,dew,22,5,7,6,5.63
05-12-2021,Italy,Bologna,dew,40,1,5,3,13.66
15-03-2021,Italy,Bologna,dew,48,-2,1.5,0,7.22
06-06-2021,Italy,Bologna,dew,40,15,18,15.5,6.53
30-12-2020,Italy,Bologna,dew,34,1,4,3,9.02
25-04-2021,Italy,Bologna,dew,46,4,8,6.5,18.37
31-05-2021,Italy,Bologna,dew,48,5.5,10,7,14.53
09-07-2021,Italy,Bologna,dew,42,8,13.5,11.5,29.16
03-08-2021,Italy,Bologna,dew,48,11,15,12.5,11.26
13-11-2021,Italy,Bologna,dew,22,8,11,9,14.5
21-01-2021,Italy,Bologna,dew,24,0,2,1,4.98
27-07-2021,Italy,Bologna,dew,46,15,22.5,19,58.58
15-06-2021,Italy,Bologna,dew,42,8.5,15,13,29.98
23-07-2021,Italy,Bologna,dew,48,17,20.5,18,6.44
25-09-2021,Italy,Bologna,dew,44,12,17,13,28.44
05-01-2021,Italy,Bologna,dew,30,2.5,5,3.5,7.52
13-04-2021,Italy,Bologna,dew,44,4,9.5,6,27.38
07-05-2021,Italy,Bologna,dew,48,9,13,10,14.53
07-11-2021,Italy,Bologna,dew,44,3,7,5,10.27
09-01-2021,Italy,Bologna,dew,44,-2,0.5,-1,6.66
28-11-2021,Italy,Bologna,dew,42,0,6,4,44.85
16-02-2021,Italy,Bologna,dew,46,-6,3.5,-1.5,97.69
27-02-2021,Italy,Bologna,dew,48,2,7,4.5,25.16
22-05-2021,Italy,Bologna,dew,42,6,12,9,33.32
31-08-2021,Italy,Bologna,dew,46,12,16,14,17.18
16-09-2021,Italy,Bologna,dew,44,12.5,21.5,19,89.34
30-11-2021,Italy,Bologna,dew,44,-8,-2.5,-6,31.54
26-01-2021,Italy,Bologna,dew,48,-9.5,-3,-7,24.32
08-05-2021,Italy,Bologna,dew,48,9,12.5,10,9.34
26-05-2021,Italy,Bologna,dew,46,8,14,11,20.55
01-03-2021,Italy,Bologna,dew,46,-3,0.5,-1.5,5.98
18-04-2021,Italy,Bologna,dew,44,1,5,4,18.31
23-05-2021,Italy,Bologna,dew,46,6,14,12,48.8
25-06-2021,Italy,Bologna,dew,46,8.5,13,10.5,22.81
05-07-2021,Italy,Bologna,dew,42,14,18.5,16,21.86
03-09-2021,Italy,Bologna,dew,36,10,12.5,11.5,4.54
11-01-2021,Italy,Bologna,dew,46,-3,-0.5,-2,5.44
16-01-2021,Italy,Bologna,dew,42,-4,0.5,-2.5,12.33
07-04-2021,Italy,Bologna,dew,46,-11.5,1.5,-1,143.11
22-06-2021,Italy,Bologna,dew,48,9,18,14.5,68.93
09-09-2021,Italy,Bologna,dew,42,6.5,12,10,26.9
31-10-2021,Italy,Bologna,dew,40,9,10,9.5,1.1
13-01-2021,Italy,Bologna,dew,48,-3.5,1,-1.5,21.7
28-04-2021,Italy,Bologna,dew,34,9.5,12,10.5,7.01
21-08-2021,Italy,Bologna,dew,36,12,14,13.5,4.63
08-11-2021,Italy,Bologna,dew,26,7,9,8,3.05
03-12-2021,Italy,Bologna,dew,28,2,6,5,19.95
14-01-2021,Italy,Bologna,dew,46,-4,1,-1,25.48
12-02-2021,Italy,Bologna,dew,44,-4,1,-2,17.95
12-03-2021,Italy,Bologna,dew,36,4,10,7.5,37.56
06-04-2021,Italy,Bologna,dew,44,1,7,3,25.88
29-04-2021,Italy,Bologna,dew,42,10,15.5,14,30.85
03-05-2021,Italy,Bologna,dew,48,4,10,8.5,23.4
15-07-2021,Italy,Bologna,temperature,96,16.9,28,24.1,99.98
29-07-2021,Italy,Bologna,temperature,96,19.8,33.3,27.3,157.32
14-02-2021,Italy,Bologna,temperature,96,-5,6,-1,106.59
02-05-2021,Italy,Bologna,temperature,96,11.5,22,16.2,83.9
03-05-2021,Italy,Bologna,temperature,89,9.4,19,14,95.99
29-09-2021,Italy,Bologna,temperature,96,14.4,26,20.5,128.27
30-12-2020,Italy,Bologna,temperature,96,1.4,5,3.3,9.06
04-02-2021,Italy,Bologna,temperature,96,3.8,11.1,8.3,51.13
10-09-2021,Italy,Bologna,temperature,96,14.6,30,21.6,206.82
22-05-2021,Italy,Bologna,temperature,96,16.1,23.5,18.8,53.5
18-08-2021,Italy,Bologna,temperature,96,16.6,29.5,23.1,137.45
18-04-2021,Italy,Bologna,temperature,96,2.4,14,9.1,110.61
26-04-2021,Italy,Bologna,temperature,96,9,17.1,13.7,37.28
12-05-2021,Italy,Bologna,temperature,96,11,22,15.5,88.46
16-09-2021,Italy,Bologna,temperature,96,19.7,25,23,17.21
03-12-2021,Italy,Bologna,temperature,84,3,9,6,17.31
20-03-2021,Italy,Bologna,temperature,96,-2.1,10,4.5,136.55
20-04-2021,Italy,Bologna,temperature,96,4.4,19,13.1,210.46
14-08-2021,Italy,Bologna,temperature,96,21.2,38,29.5,255.9
26-05-2021,Italy,Bologna,temperature,96,9.2,24,17,186.1
14-07-2021,Italy,Bologna,temperature,91,18.8,28.4,23,71.4
23-07-2021,Italy,Bologna,temperature,96,18.7,33,26.5,193.94
20-11-2021,Italy,Bologna,temperature,96,6.6,9.4,8.3,4.93
02-02-2021,Italy,Bologna,temperature,96,0.5,10.1,4.4,82.58
12-03-2021,Italy,Bologna,temperature,96,5,16.3,11,97.29
27-04-2021,Italy,Bologna,temperature,96,10.1,14,12,10.74
01-10-2021,Italy,Bologna,temperature,96,12.2,23,16.5,105.5
10-04-2021,Italy,Bologna,temperature,96,7.5,15.8,12.4,48.33
06-07-2021,Italy,Bologna,temperature,96,17.7,34,26.1,203.77
26-08-2021,Italy,Bologna,temperature,94,13.8,30,23.7,274.13
13-07-2021,Italy,Bologna,temperature,95,21.2,31.5,26,52.55
14-11-2021,Italy,Bologna,temperature,96,10,13,12,7.46
14-01-2021,Italy,Bologna,temperature,96,-3,7,1.5,97.44
24-02-2021,Italy,Bologna,temperature,96,6,20,11,195.96
21-06-2021,Italy,Bologna,temperature,96,23,34.1,28,115.79
19-08-2021,Italy,Bologna,temperature,82,15.5,31,26,218.74
11-04-2021,Italy,Bologna,temperature,96,9.1,14,11,14.44
22-04-2021,Italy,Bologna,temperature,96,8.4,17.2,11.6,75.07
09-08-2021,Italy,Bologna,temperature,96,18,34,26.8,226.94
06-05-2021,Italy,Bologna,temperature,96,13.5,24,16.5,83.33
08-06-2021,Italy,Bologna,temperature,94,15.9,25.5,18.5,74.27
21-11-2021,Italy,Bologna,temperature,96,4.4,8,6.6,7.9
06-03-2021,Italy,Bologna,temperature,96,0.9,10.5,7.2,49.11
19-03-2021,Italy,Bologna,temperature,96,-0.5,10.5,4.1,132.41
08-04-2021,Italy,Bologna,temperature,96,-0.5,16.1,10.1,288.24
02-10-2021,Italy,Bologna,temperature,40,12.2,16.2,13.8,15.36
09-01-2021,Italy,Bologna,temperature,96,-1,4,2.7,18.16
25-01-2021,Italy,Bologna,temperature,96,-0.5,6.6,3.1,35.77
01-02-2021,Italy,Bologna,temperature,96,2.5,7,5,13.68
04-06-2021,Italy,Bologna,temperature,96,15.7,31.7,25,220.43
16-06-2021,Italy,Bologna,temperature,96,17.2,31,24.8,160.03
12-07-2021,Italy,Bologna,temperature,96,20.2,34.7,26.9,172.26
05-08-2021,Italy,Bologna,temperature,96,19.8,30.5,23.7,94.6
06-09-2021,Italy,Bologna,temperature,81,13.5,29,20.5,244.56
31-01-2021,Italy,Bologna,temperature,96,5,7,6,3.7
06-04-2021,Italy,Bologna,temperature,92,1.6,12,6.5,112.81
30-04-2021,Italy,Bologna,temperature,96,9,23.5,18.7,205.39
16-08-2021,Italy,Bologna,temperature,96,22.3,37.6,29.4,187.85
19-11-2021,Italy,Bologna,temperature,96,9,13.3,10,14.22
01-01-2021,Italy,Bologna,temperature,96,2.5,5.5,4,5.77
07-05-2021,Italy,Bologna,temperature,96,10,26,19,195.08
11-07-2021,Italy,Bologna,temperature,96,20.6,32,26.9,129.94
27-11-2021,Italy,Bologna,temperature,96,5,14.7,11,30.35
11-03-2021,Italy,Bologna,temperature,96,3,15,11.5,146.13
07-06-2021,Italy,Bologna,temperature,96,16.6,26,18.5,87.71
25-06-2021,Italy,Bologna,temperature,95,15.3,31.3,26,201.46
19-04-2021,Italy,Bologna,temperature,96,4,15.5,10,120.97
13-06-2021,Italy,Bologna,temperature,96,19.5,33.7,26,179.78
22-07-2021,Italy,Bologna,temperature,96,19.4,33,26.5,170.86
12-09-2021,Italy,Bologna,temperature,94,15.3,30,22.7,228.74
07-12-2021,Italy,Bologna,temperature,38,-1.5,2.7,0.5,8.82
03-01-2021,Italy,Bologna,temperature,96,2,8.7,4.8,21.2
18-03-2021,Italy,Bologna,temperature,96,0.6,10.5,7,68.74
26-03-2021,Italy,Bologna,temperature,82,5,19,13.8,146.46
19-07-2021,Italy,Bologna,temperature,95,20.4,32.5,27,143.58
28-07-2021,Italy,Bologna,temperature,85,19,34.5,27,270.01
17-09-2021,Italy,Bologna,temperature,94,17.7,27,22,64.6
28-09-2021,Italy,Bologna,temperature,96,14.2,26,19,132.57
13-11-2021,Italy,Bologna,temperature,96,6.8,12,10.5,18.41
21-02-2021,Italy,Bologna,temperature,94,4,14,7.5,97.12
11-05-2021,Italy,Bologna,temperature,96,13.7,18.7,15.6,15.53
26-06-2021,Italy,Bologna,temperature,96,17.5,32,25.3,186.47
02-12-2021,Italy,Bologna,temperature,96,3.8,7,5.5,5.72
18-05-2021,Italy,Bologna,temperature,96,12,24.5,18,143.18
20-05-2021,Italy,Bologna,temperature,96,7.6,23.7,16.6,254.74
12-08-2021,Italy,Bologna,temperature,96,20.2,36,28.7,249.69
23-11-2021,Italy,Bologna,temperature,96,5.9,13,9,31.08
11-02-2021,Italy,Bologna,temperature,96,4.1,12.5,7.6,47.39
07-03-2021,Italy,Bologna,temperature,96,-0.5,11.5,5,152.92
17-05-2021,Italy,Bologna,temperature,96,14,24.5,18.5,62.04
10-08-2021,Italy,Bologna,temperature,70,20.4,33.5,25,170.93
25-09-2021,Italy,Bologna,temperature,96,14,27,20.5,182.26
29-11-2021,Italy,Bologna,temperature,96,0,8.5,4,52
03-02-2021,Italy,Bologna,temperature,94,3.5,8,6.1,17.44
